table_name,field_name,language,translation,record_id
stops,stop_name,eu,Bake kalea,1299
stops,stop_name,es,Paz,1299
stops,stop_name,eu,Antonio Machado / Pasabidea,1245
stops,stop_name,es,Antonio Machado / Pasaje,1245
stops,stop_name,eu,Arriurdina / Basaldea,1200
stops,stop_name,es,Arriurdina / Basaldea,1200
stops,stop_name,eu,Gamarrako atea / Deba,1092
stops,stop_name,es,Portal Gamarra / Deba,1092
stops,stop_name,eu,Salburua bulebarra,1234
stops,stop_name,es,Bulevar Salburua 7,1234
stops,stop_name,eu,Tomas Zumarraga Dohatsua,1171
stops,stop_name,es,Bº Tomás Zumarraga 71,1171
stops,stop_name,eu,Mendigorritxu,1366
stops,stop_name,es,Mendigorritxu,1366
stops,stop_name,eu,Zurrupitieta / Jundiz,1378
stops,stop_name,es,Zurrupitieta / Jundiz,1378
stops,stop_name,eu,Gaztelako atea,1152
stops,stop_name,es,Castilla 47,1152
stops,stop_name,eu,Jacinto Benavente,1080
stops,stop_name,es,Jacinto Benavente 7,1080
stops,stop_name,eu,Herrandarrak,1034
stops,stop_name,es,Los Herrán 4,1034
stops,stop_name,eu,Bake kalea,1011
stops,stop_name,es,Paz,1011
stops,stop_name,eu,Gaztelako atea,1140
stops,stop_name,es,Castilla 80,1140
stops,stop_name,eu,Oto hiribidea / Handizkariak,1193
stops,stop_name,es,Av. Los Huetos / Mayoristas,1193
stops,stop_name,eu,Tomas Zumarraga Dohatsua,1326
stops,stop_name,es,Bº Tomás Zumarraga 34,1326
stops,stop_name,eu,Teresa Kalkutakoa,1372
stops,stop_name,es,Teresa Calcuta 15,1372
stops,stop_name,eu,Europa,1025
stops,stop_name,es,Europa,1025
stops,stop_name,eu,Oto hiribidea / Ehari,1175
stops,stop_name,es,Av. Los Huetos / Ali,1175
stops,stop_name,eu,Areatza / Mercedes,1353
stops,stop_name,es,Las Arenas / Mercedes,1353
stops,stop_name,eu,Kanpoko Kontsultak,1356
stops,stop_name,es,Consultas externas,1356
stops,stop_name,eu,Zaramaga / Boulevard,1042
stops,stop_name,es,Zaramaga / Boulevard,1042
stops,stop_name,eu,Done Jakue hiribidea,1229
stops,stop_name,es,Av. Santiago 46,1229
stops,stop_name,eu,Esmaltazioak,1050
stops,stop_name,es,Esmaltaciones,1050
stops,stop_name,eu,Nazio Batuak,1227
stops,stop_name,es,Naciones Unidas 1,1227
stops,stop_name,eu,Pedro Asua,1070
stops,stop_name,es,Pedro Asúa 12,1070
stops,stop_name,eu,Giza Eskubideak / Sofia Erregina,1242
stops,stop_name,es,Derechos Humanos / Reina Sofía,1242
stops,stop_name,eu,Intermodala,1001
stops,stop_name,es,Intermodal,1001
stops,stop_name,eu,Bergarako atea,1087
stops,stop_name,es,Portal Bergara 25,1087
stops,stop_name,eu,Betoñuko atea / ID-arte,1107
stops,stop_name,es,Portal Betoño / I.D. arte,1107
stops,stop_name,eu,Giza Eskubideak / Sofia Erregina,1276
stops,stop_name,es,Derechos Humanos / Reina Sofía,1276
stops,stop_name,eu,Lermandabidea / Araneta,1365
stops,stop_name,es,Lermandabidea / Araneta,1365
stops,stop_name,eu,Oto hiribidea / Jeronimo Roure,1336
stops,stop_name,es,Av. Los Huetos / Jerónimo Roure,1336
stops,stop_name,eu,Txagorritxu,1386
stops,stop_name,es,Txagorritxu,1386
stops,stop_name,eu,Nafarroako Errege-Erreginak,1309
stops,stop_name,es,Reyes Navarra 19,1309
stops,stop_name,eu,Honduras,1023
stops,stop_name,es,Honduras,1023
stops,stop_name,eu,San Prudentzio hiribidea ,1143
stops,stop_name,es,Av. San Prudencio,1143
stops,stop_name,eu,Jose Mardones,1095
stops,stop_name,es,José Mardones / Logroño,1095
stops,stop_name,eu,Wellington,1261
stops,stop_name,es,Wellington,1261
stops,stop_name,eu,Paduleta / Uzbina,1203
stops,stop_name,es,Paduleta / Uzbina,1203
stops,stop_name,eu,Gaztelako atea,1138
stops,stop_name,es,Castilla 36,1138
