route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
6,Laborables(Tuvisa2023-06-05),pse-0003fc81899,hacia Iliada / Gabriel Martínez Aragón,21:20_L6_1385_1340,0,,shp_3_56,0,0
A,DomingosAgosto(Tuvisa2023-06-05),pse-0005f275870,hacia Mendizorrotza,09:00_LA_1042_1055,0,,shp_3_76,0,0
A,Laborables(Tuvisa2023-04-14),pse-00073b1b8a2,hacia Mendizorrotza,07:56_LA_1042_1055,0,,shp_3_76,0,0
A,SabadosAgosto(Tuvisa2023-06-05),pse-000af9b20ec,hacia Mendizorrotza,07:30_LA_1042_1055,0,,shp_3_76,0,0
7,Sabados(Tuvisa2023-04-14),pse-000f4a24c3f,hacia Henry Morton Stanley / Océano Atlántico,18:05_L7_1257_1348,1,,shp_3_43,0,0
B,Domingos(Tuvisa2023-06-05),pse-001671e8508,hacia Mendizorrotza,17:00_LB_1064_1074,0,,shp_3_78,0,0
B,4deAgosto(Tuvisa2023-06-05),pse-00171668b5c,hacia Zaramaga/ Boulevard,18:29_LB_1074_1064,0,,shp_3_66,0,0
3,Laborables(Tuvisa-2023-01-30),pse-0017649de66,hacia Portal Bergara 25,20:05_L3_1360_1087,1,,shp_3_25,0,0
A,Laborables(Tuvisa2023),pse-0017ad5e43f,hacia Zaramaga/ Boulevard,13:07_LA_1055_1042,0,,shp_3_60,0,0
7,Laborables(Tuvisa2023-06-05),pse-001c666b0ab,hacia Iliada / Bulevar Salburua,15:20_L7_1348_1257,0,,shp_3_35,0,0
4,Laborables(Tuvisa2023-04-14),pse-001ee9a452b,hacia Donostia / Baiona,14:00_L4_1382_1282,1,,shp_3_59,0,0
B,Laborables(Tuvisa2023),pse-0022265e934,hacia Mendizorrotza,10:58_LB_1064_1074,0,,shp_3_78,0,0
7,Domingos(Tuvisa2023-06-05),pse-00223ee7380,hacia Iliada / Bulevar Salburua,09:00_L7_1348_1257,0,,shp_3_35,0,0
A,Laborables(Tuvisa2023-04-14),pse-00224636dfa,hacia Mendizorrotza,09:34_LA_1042_1055,0,,shp_3_76,0,0
B,Sabados(Tuvisa-2023-01-30),pse-0023056ba2f,hacia Zaramaga/ Boulevard,08:02_LB_1074_1064,0,,shp_3_66,0,0
4,Laborables(Tuvisa-2023-01-30),pse-00284cd5fc8,hacia Iruña Veleia / Oyón,18:00_L4_1282_1382,0,,shp_3_38,0,0
5,4deAgosto(Tuvisa2023-06-05),pse-002b1301cc0,hacia Asteguieta,18:00_L5A_1338_1192,0,,shp_3_7,0,0
7,SabadosAgosto(Tuvisa2023-06-05),pse-002ba7dbc8c,hacia Iliada / Bulevar Salburua,12:00_L7_1348_1257,0,,shp_3_35,0,0
6,Laborables(Tuvisa2023-04-14),pse-002e919f18d,hacia Mariturri / Reina Sofía,12:50_L6_1340_1385,1,,shp_3_51,0,0
A,LaborablesAgostoSINL6L7L10(Tuvisa2023-06-05),pse-002f49302f9,hacia Mendizorrotza,18:24_LA_1042_1055,0,,shp_3_76,0,0
10,Domingos(Tuvisa2023-06-05),pse-003472d48bb,hacia Iliada / Bulevar Salburua,17:20_L10_1322_1379,0,,shp_3_70,0,0
8,SabadosAgosto(Tuvisa2023-06-05),pse-00352a5a24e,hacia Nieves Cano / Unibersitatea,15:00_L8_1022_1031,0,,shp_3_45,0,0
5,Domingos(Tuvisa2023),pse-00358ead1cb,hacia Bruselas / Portal Elorriaga,17:15_L5A_1192_1338,1,,shp_3_4,0,0
7,SantiagoFestivo(Tuvisa2023-06-05),pse-0035f8df9e5,hacia Catedral,20:20_L7_1348_1298,0,,shp_3_36,0,0
7,4deAgosto(Tuvisa2023-06-05),pse-00382727432,hacia Iliada / Bulevar Salburua,10:45_L7_1348_1257,0,,shp_3_35,0,0
1,SabadosAgosto(Tuvisa2023-06-05),pse-003a82939f2,hacia Reyes Navarra 19,18:57_L1_1012_1309,0,,shp_3_12,0,0
4,DomingosAgosto(Tuvisa2023-06-05),pse-003b3e9c282,hacia Iruña Veleia / Oyón,19:40_L4_1282_1382,0,,shp_3_38,0,0
ES,ESSanPrudencia28Abril(Tuvisa2023-04-14),pse-003c5373440,hacia Paz,11:15_ES_ARMENTIA_PAZ,1,,shp_3_5,0,0
B,Sabados(Tuvisa2023-06-05),pse-004146dc900,hacia Mendizorrotza,16:00_LB_1064_1074,0,,shp_3_78,0,0
3,SabadosAgosto(Tuvisa2023-06-05),pse-0042132952b,hacia Portal Bergara 25,19:30_L3_1360_1087,1,,shp_3_26,0,0
1,Laborables(Tuvisa2023-04-14),pse-00435401416,hacia Reyes Navarra 19,20:02_L1_1012_1309,0,,shp_3_12,0,0
B,Sabados(Tuvisa2023-04-14),pse-0043cd45aa8,hacia Mendizorrotza,15:15_LB_1064_1074,0,,shp_3_78,0,0
A,LaborablesAgostoSINL6L7L10(Tuvisa2023-06-05),pse-0045003f5a1,hacia Mendizorrotza,18:48_LA_1042_1055,0,,shp_3_76,0,0
8,Laborables(Tuvisa2023-04-14),pse-004a258c041,hacia Intermodal,11:32_L8_1031_1022,0,,shp_3_61,0,0
